Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Product Manager,10004,123,135750,130,35,19,18666,3.5,Product,Male,72,40,2.5872689938398357,31,0
Product Marketing Manager,10005,124,145200,130,35,19,21490,5.6,Marketing,Female,83,40,2.652977412731006,35,0
Project Manager,98103,125,141150,130,35,19,20255,4.7,Product,Male,91,40,2.7926078028747434,33,0
Sales Director,90010,126,209800,180,45,23,46471,8.3,Sales,Female,77,40,3.2334017796030117,31,0
Sales Representative,90008,127,97100,105,30,17,7622,5.7,Sales,Male,96,40,3.381245722108145,30,0
Senior Account Executive,90008,128,135200,130,35,19,15075,6.3,Sales,Male,116,40,3.6084873374401094,33,0
Senior Account Executive,90008,129,136000,130,35,19,15300,6.5,Sales,Male,156,40,3.802874743326489,37,0
Senior Account Manager,90011,130,136000,130,35,19,15300,6.5,Sales,Male,68,40,5.6098562628336754,30,1
Senior Account Manager,90008,131,135200,130,35,19,15075,6.3,Sales,Male,136,40,3.887748117727584,34,0
Senior Business Analyst,60604,132,131600,130,35,19,14081,5.4,Finance,Non-Binary,112,40,2.546201232032854,27,0
Senior Content Writer,10004,133,130400,130,35,19,13757,5.1,Marketing,Non-Binary,132,40,2.7926078028747434,29,0
Senior DevOps Engineer,94108,134,143600,130,35,19,17519,8.4,Engineering,Male,94,40,4.566735112936345,31,0
Senior Financial Analyst,60607,135,134800,130,35,19,14963,6.2,Finance,Female,75,40,4.054757015742642,36,0
Senior Financial Analyst,60602,136,146400,130,35,19,18373,9.1,Finance,Female,90,40,5.158110882956879,36,1
Senior HR Manager,2104,137,139600,130,35,19,16333,7.4,Human Resources,Male,82,40,4.271047227926078,36,0
Senior Marketing Manager,10004,138,133200,130,35,19,14519,5.8,Marketing,Non-Binary,122,40,2.9979466119096507,28,0
Senior Marketing Specialist,10004,139,131600,130,35,19,14081,5.4,Marketing,Non-Binary,152,40,2.4969199178644765,32,0
Senior Product Manager,10010,140,138800,130,35,19,16101,7.2,Product,Female,88,40,3.887748117727584,32,0
Senior Project Manager,98102,141,147200,130,35,19,18621,9.3,Product,Female,130,40,5.308692676249144,32,1
Senior Sales Executive,90008,142,134800,130,35,19,14963,6.2,Sales,Male,146,40,4.076659822039699,35,0
Senior Sales Manager,90008,143,137200,130,35,19,15641,6.8,Sales,Male,106,40,4.117727583846681,32,0
Senior Sales Representative,90008,144,136800,130,35,19,15527,6.7,Sales,Male,126,40,4.2217659137577,33,0
Senior UX Designer,78704,145,132800,130,35,19,14409,5.7,Design,Non-Binary,142,40,3.159479808350445,31,0
Software Engineer,94109,146,90500,105,30,17,6109,3.5,Engineering,Male,85,40,2.0725530458590007,25,0
Staff Engineer,94108,147,115250,130,35,19,10430,8.1,Engineering,Male,104,40,4.717316906228611,32,0
Systems Administrator,94104,148,87200,105,30,17,5406,2.4,IT,Male,131,40,1.5797399041752225,26,0
Technical Director,94103,149,220000,180,45,23,50600,10.5,Engineering,Female,120,40,5.5249828884325805,40,1
Technical Lead,94112,150,149000,130,35,19,18253,8.5,Engineering,Female,148,40,4.65160848733744,30,0
Technical Writer,94104,151,88400,105,30,17,5658,2.8,Engineering,Male,111,40,1.9000684462696784,32,0
Technical Writer,98103,152,88100,105,30,17,5594,2.7,Engineering,Male,151,40,1.7138945927446954,28,0
UX Designer,78723,153,95900,105,30,17,7336,5.3,Design,Female,86,40,2.726899383983573,28,0
UX Researcher,78712,154,88100,105,30,17,5594,2.7,Design,Male,74,40,2.1601642710472277,31,0
UX Researcher,78703,155,87800,105,30,17,5531,2.6,Design,Male,121,40,1.6454483230663928,24,0
VP of Technology,98109,156,300000,230,55,27,90000,12.3,Executive,Female,67,40,3.969883641341547,35,0
